Nome do deputado,Tipo de gasto,Partido,Estado,Valor
OSMAR SERRAGLIO,Telecommunication,PMDB,PR,286.22
OSMAR SERRAGLIO,Telecommunication,PMDB,PR,249.13
OSMAR SERRAGLIO,Congressperson meal,PMDB,PR,39.0
GONZAGA PATRIOTA,Fuels and lubricants,PSB,PE,52.36
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,161.07
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,100.0
NELSON PELLEGRINO,Taxi toll and parking,PT,BA,9.7
NELSON PELLEGRINO,Taxi toll and parking,PT,BA,2.5
NELSON PELLEGRINO,Taxi toll and parking,PT,BA,2.5
NELSON PELLEGRINO,Telecommunication,PT,BA,1270.7
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,60.0
CARLOS EDUARDO CADOCA,Fuels and lubricants,PDT,PE,100.0
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,50.0
SILVIO TORRES,Fuels and lubricants,PSDB,SP,66.12
ELCIONE BARBALHO,Telecommunication,PMDB,PA,1748.85
ELCIONE BARBALHO,Fuels and lubricants,PMDB,PA,227.53
EDUARDO BARBOSA,Telecommunication,PSDB,MG,1575.48
ELIZEU DIONIZIO,Flight tickets,PSDB,MS,1159.39
PROS,Congressperson meal,,,2400.0
LIDERANÇA DO PT,Congressperson meal,,,2524.57
PEPE VARGAS,Fuels and lubricants,PT,RS,183.1
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,25.0
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,55.0
OTAVIO LEITE,Fuels and lubricants,PSDB,RJ,139.14
OTAVIO LEITE,Congressperson meal,PSDB,RJ,19.25
OTAVIO LEITE,Fuels and lubricants,PSDB,RJ,100.0
OTAVIO LEITE,Congressperson meal,PSDB,RJ,25.0
LÚCIO VALE,Maintenance of office supporting parliamentary activity,PR,PA,304.63
FELIPE MAIA,Fuels and lubricants,DEM,RN,100.0
FELIPE MAIA,Congressperson meal,DEM,RN,62.9
FÁBIO RAMALHO,Fuels and lubricants,PMDB,MG,165.01
FÁBIO RAMALHO,Fuels and lubricants,PMDB,MG,165.0
DÉCIO LIMA,Congressperson meal,PT,SC,62.9
DÉCIO LIMA,Fuels and lubricants,PT,SC,50.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,25.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,50.0
CELSO MALDANER,Publicity of parliamentary activity,PMDB,SC,3000.0
ANTONIO BULHÕES,Congressperson meal,PRB,SP,49.8
ANTONIO BULHÕES,Fuels and lubricants,PRB,SP,143.33
AFONSO HAMM,Congressperson meal,PP,RS,42.5
AFONSO HAMM,Fuels and lubricants,PP,RS,194.01
GORETE PEREIRA,Publicity of parliamentary activity,PR,CE,1300.0
VANDER LOUBET,Fuels and lubricants,PT,MS,191.92
RUBENS OTONI,Fuels and lubricants,PT,GO,5857.75
REGINALDO LOPES,Fuels and lubricants,PT,MG,50.0
PAULO PIMENTA,Publicity of parliamentary activity,PT,RS,5000.0
MARIA DO ROSÁRIO,Fuels and lubricants,PT,RS,90.0
MARIA DO ROSÁRIO,Fuels and lubricants,PT,RS,50.0
DELEY,Fuels and lubricants,PTB,RJ,164.37
DELEY,Fuels and lubricants,PTB,RJ,143.76
JOSÉ MENTOR,Taxi toll and parking,PT,SP,20.0
JOSÉ MENTOR,Taxi toll and parking,PT,SP,10.0
JOSÉ MENTOR,Fuels and lubricants,PT,SP,185.04
JOSÉ MENTOR,Congressperson meal,PT,SP,19.5
BENJAMIN MARANHÃO,Fuels and lubricants,SD,PB,100.0
BENJAMIN MARANHÃO,Fuels and lubricants,SD,PB,50.0
ASSIS DO COUTO,Fuels and lubricants,PDT,PR,178.9
CELSO JACOB,Congressperson meal,PMDB,RJ,49.5
CELSO JACOB,Maintenance of office supporting parliamentary activity,PMDB,RJ,114.5
POMPEO DE MATTOS,Congressperson meal,PDT,RS,18.5
POMPEO DE MATTOS,Fuels and lubricants,PDT,RS,100.0
POMPEO DE MATTOS,Fuels and lubricants,PDT,RS,200.0
LUIS CARLOS HEINZE,Congressperson meal,PP,RS,26.95
HENRIQUE FONTANA,Fuels and lubricants,PT,RS,178.1
HENRIQUE FONTANA,Fuels and lubricants,PT,RS,161.54
PEDRO CHAVES,Fuels and lubricants,PMDB,GO,192.8
MILTON MONTI,Publicity of parliamentary activity,PR,SP,509.47
LUIZA ERUNDINA,Telecommunication,PSOL,SP,144.95
LUIZA ERUNDINA,Telecommunication,PSOL,SP,1212.1
LUIZA ERUNDINA,Telecommunication,PSOL,SP,137.7
RODRIGO MAIA,Fuels and lubricants,DEM,RJ,210.01
LINCOLN PORTELA,Taxi toll and parking,PRB,MG,114.0
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,80.01
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,150.0
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,169.01
NELSON PELLEGRINO,Taxi toll and parking,PT,BA,4.4
NELSON PELLEGRINO,Taxi toll and parking,PT,BA,4.4
NELSON PELLEGRINO,Taxi toll and parking,PT,BA,2.5
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,139.05
ANDRÉ DE PAULA,Congressperson meal,PSD,PE,40.26
JOSUÉ BENGTSON,Fuels and lubricants,PTB,PA,100.0
JOSUÉ BENGTSON,Fuels and lubricants,PTB,PA,166.05
MARCUS VICENTE,Fuels and lubricants,PP,ES,40.0
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,96.7
SILVIO TORRES,Fuels and lubricants,PSDB,SP,105.02
SILVIO TORRES,Fuels and lubricants,PSDB,SP,177.01
SILVIO TORRES,Congressperson meal,PSDB,SP,34.65
ROBERTO FREIRE,Congressperson meal,PPS,SP,94.49
JOSÉ ROCHA,Fuels and lubricants,PR,BA,50.0
JOSÉ ROCHA,Postal services,PR,BA,39.14
HERMES PARCIANELLO,Fuels and lubricants,PMDB,PR,289.7
HERMES PARCIANELLO,Maintenance of office supporting parliamentary activity,PMDB,PR,306.3
HERÁCLITO FORTES,Maintenance of office supporting parliamentary activity,PSB,PI,47.72
ELCIONE BARBALHO,Maintenance of office supporting parliamentary activity,PMDB,PA,64.9
ELCIONE BARBALHO,Fuels and lubricants,PMDB,PA,208.8
RUBENS BUENO,Congressperson meal,PPS,PR,55.0
PHS,Congressperson meal,,,120.0
LID.GOV-CN,Congressperson meal,,,236.0
RENATO MOLLING,Lodging except for congressperson from Distrito Federal,PP,RS,411.87
PEPE VARGAS,Congressperson meal,PT,RS,66.05
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,25.0
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,15.0
BENEDITA DA SILVA,Fuels and lubricants,PT,RJ,116.68
BENEDITA DA SILVA,Lodging except for congressperson from Distrito Federal,PT,RJ,877.59
BENEDITA DA SILVA,Maintenance of office supporting parliamentary activity,PT,RJ,21.0
LEONARDO QUINTÃO,Congressperson meal,PMDB,MG,8.15
JOSÉ AIRTON CIRILO,Maintenance of office supporting parliamentary activity,PT,CE,494.5
JÔ MORAES,Maintenance of office supporting parliamentary activity,PCdoB,MG,2951.55
FLAVIANO MELO,Automotive vehicle renting or charter,PMDB,AC,2600.0
FLAVIANO MELO,Automotive vehicle renting or charter,PMDB,AC,6000.0
FLAVIANO MELO,Maintenance of office supporting parliamentary activity,PMDB,AC,200.0
FELIPE MAIA,Congressperson meal,DEM,RN,83.8
FÁBIO RAMALHO,Fuels and lubricants,PMDB,MG,194.94
EDUARDO DA FONTE,Fuels and lubricants,PP,PE,229.49
DÉCIO LIMA,Fuels and lubricants,PT,SC,120.0
DÉCIO LIMA,Fuels and lubricants,PT,SC,100.01
DÉCIO LIMA,Fuels and lubricants,PT,SC,100.0
DÉCIO LIMA,Fuels and lubricants,PT,SC,50.0
DÉCIO LIMA,Fuels and lubricants,PT,SC,147.95
CLEBER VERDE,Fuels and lubricants,PRB,MA,100.0
CLEBER VERDE,Maintenance of office supporting parliamentary activity,PRB,MA,214.0
CHICO LOPES,Fuels and lubricants,PCdoB,CE,163.97
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,519.2
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,38.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,28.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,18.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,20.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,20.0
CELSO MALDANER,Publicity of parliamentary activity,PMDB,SC,500.0
CELSO MALDANER,Publicity of parliamentary activity,PMDB,SC,700.0
CELSO MALDANER,Fuels and lubricants,PMDB,SC,170.0
BILAC PINTO,Maintenance of office supporting parliamentary activity,PR,MG,1009.03
ANTONIO BULHÕES,Congressperson meal,PRB,SP,60.4
AFONSO HAMM,Congressperson meal,PP,RS,27.28
ANDRÉ FIGUEIREDO,Fuels and lubricants,PDT,CE,192.8
MARCO MAIA,Maintenance of office supporting parliamentary activity,PT,RS,89.18
ZÉ GERALDO,Publicity of parliamentary activity,PT,PA,30000.0
VANDER LOUBET,Fuels and lubricants,PT,MS,59.99
REGINALDO LOPES,Maintenance of office supporting parliamentary activity,PT,MG,2771.09
GERALDO RESENDE,Publicity of parliamentary activity,PSDB,MS,1200.0
PATRUS ANANIAS,Publicity of parliamentary activity,PT,MG,2250.0
MÁRIO HERINGER,Publicity of parliamentary activity,PDT,MG,700.0
MARIA DO ROSÁRIO,Taxi toll and parking,PT,RS,57.19
MARIA DO ROSÁRIO,Terrestrial maritime and fluvial tickets,PT,RS,34.65
MARIA DO ROSÁRIO,Maintenance of office supporting parliamentary activity,PT,RS,18.45
MARIA DO ROSÁRIO,Taxi toll and parking,PT,RS,44.87
MARIA DO ROSÁRIO,Postal services,PT,RS,60.8
LUIZ COUTO,Maintenance of office supporting parliamentary activity,PT,PB,124.19
LUIZ COUTO,Maintenance of office supporting parliamentary activity,PT,PB,286.09
LUIZ COUTO,Maintenance of office supporting parliamentary activity,PT,PB,61.24
LOBBE NETO,Fuels and lubricants,PSDB,SP,40.0
DELEY,Fuels and lubricants,PTB,RJ,169.09
JOSÉ MENTOR,Fuels and lubricants,PT,SP,179.5
JOSÉ MENTOR,Telecommunication,PT,SP,95.71
CHICO ALENCAR,Congressperson meal,PSOL,RJ,18.15
CARLOS SOUZA,Fuels and lubricants,PSDB,AM,100.0
BENJAMIN MARANHÃO,Automotive vehicle renting or charter,SD,PB,1600.0
ASSIS DO COUTO,Congressperson meal,PDT,PR,20.0
ASSIS DO COUTO,Taxi toll and parking,PDT,PR,20.0
ASSIS DO COUTO,Taxi toll and parking,PDT,PR,20.0
JÚLIO DELGADO,Terrestrial maritime and fluvial tickets,PSB,MG,172.5
JÚLIO DELGADO,Flight tickets,PSB,MG,670.0
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,112.0
CELSO JACOB,Congressperson meal,PMDB,RJ,47.9
HENRIQUE FONTANA,Terrestrial maritime and fluvial tickets,PT,RS,19.1
HENRIQUE FONTANA,Taxi toll and parking,PT,RS,10.0
PEDRO CHAVES,Fuels and lubricants,PMDB,GO,201.71
PEDRO CHAVES,Congressperson meal,PMDB,GO,57.25
LUIZA ERUNDINA,Telecommunication,PSOL,SP,204.88
LUIZA ERUNDINA,Fuels and lubricants,PSOL,SP,158.58
LUIZ SÉRGIO,Postal services,PT,RJ,101.25
LUIZ SÉRGIO,Congressperson meal,PT,RJ,26.0
LUIZ SÉRGIO,Taxi toll and parking,PT,RJ,18.0
LUIZ SÉRGIO,Taxi toll and parking,PT,RJ,20.0
LINCOLN PORTELA,Maintenance of office supporting parliamentary activity,PRB,MG,30.75
PAULO MAGALHÃES,Fuels and lubricants,PSD,BA,100.0
NELSON PELLEGRINO,Congressperson meal,PT,BA,25.0
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,50.0
NELSON PELLEGRINO,Congressperson meal,PT,BA,12.76
NELSON PELLEGRINO,Congressperson meal,PT,BA,61.05
LUCIANO BIVAR,Consultancy research and technical work,PSL,PE,15000.0
CARLOS EDUARDO CADOCA,Security service provided by specialized company,PDT,PE,149.22
ANDRÉ DE PAULA,Fuels and lubricants,PSD,PE,50.02
ANDRÉ DE PAULA,Congressperson meal,PSD,PE,33.12
DAMIÃO FELICIANO,Fuels and lubricants,PDT,PB,3018.17
JOSUÉ BENGTSON,Fuels and lubricants,PTB,PA,100.0
MARCUS VICENTE,Fuels and lubricants,PP,ES,100.0
SILVIO TORRES,Congressperson meal,PSDB,SP,66.05
ROBERTO FREIRE,Lodging except for congressperson from Distrito Federal,PPS,SP,1420.64
JÚLIO CESAR,Security service provided by specialized company,PSD,PI,6000.0
JOSÉ ROCHA,Fuels and lubricants,PR,BA,300.0
HERMES PARCIANELLO,Fuels and lubricants,PMDB,PR,220.22
HERÁCLITO FORTES,Postal services,PSB,PI,48.3
HERÁCLITO FORTES,Maintenance of office supporting parliamentary activity,PSB,PI,281.5
ELCIONE BARBALHO,Maintenance of office supporting parliamentary activity,PMDB,PA,1595.0
ELCIONE BARBALHO,Congressperson meal,PMDB,PA,31.7
ELCIONE BARBALHO,Fuels and lubricants,PMDB,PA,100.0
EDUARDO BARBOSA,Telecommunication,PSDB,MG,30.75
EDUARDO BARBOSA,Telecommunication,PSDB,MG,30.75
EDUARDO BARBOSA,Telecommunication,PSDB,MG,30.75
EDUARDO BARBOSA,Maintenance of office supporting parliamentary activity,PSDB,MG,233.49
DILCEU SPERAFICO,Lodging except for congressperson from Distrito Federal,PP,PR,569.5
ROBERTO BRITTO,Telecommunication,PP,BA,682.84
RENATO MOLLING,Congressperson meal,PP,RS,98.92
RENATO MOLLING,Telecommunication,PP,RS,173.29
PEPE VARGAS,Congressperson meal,PT,RS,21.9
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,30.0
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,54.0
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,30.0
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,20.0
OTAVIO LEITE,Fuels and lubricants,PSDB,RJ,200.0
OTAVIO LEITE,Fuels and lubricants,PSDB,RJ,100.0
OTAVIO LEITE,Congressperson meal,PSDB,RJ,94.38
BENEDITA DA SILVA,Fuels and lubricants,PT,RJ,100.0
LUIZ FERNANDO FARIA,Congressperson meal,PP,MG,53.8
LEONARDO QUINTÃO,Maintenance of office supporting parliamentary activity,PMDB,MG,121.36
LEONARDO QUINTÃO,Maintenance of office supporting parliamentary activity,PMDB,MG,239.97
LÁZARO BOTELHO,Telecommunication,PP,TO,185.57
LAERTE BESSA,Fuels and lubricants,PR,DF,180.78
LAERTE BESSA,Fuels and lubricants,PR,DF,187.58
LAERTE BESSA,Congressperson meal,PR,DF,54.29
JOÃO CARLOS BACELAR,Fuels and lubricants,PR,BA,100.0
JÔ MORAES,Taxi toll and parking,PCdoB,MG,37.3
FELIPE MAIA,Lodging except for congressperson from Distrito Federal,DEM,RN,1698.0
FELIPE MAIA,Fuels and lubricants,DEM,RN,181.91
DÉCIO LIMA,Fuels and lubricants,PT,SC,170.04
DÉCIO LIMA,Fuels and lubricants,PT,SC,50.02
CLEBER VERDE,Fuels and lubricants,PRB,MA,370.0
CLEBER VERDE,Fuels and lubricants,PRB,MA,100.0
CHICO D'ANGELO,Fuels and lubricants,PT,RJ,122.15
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,40.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,83.0
CELSO MALDANER,Fuels and lubricants,PMDB,SC,100.0
AFONSO HAMM,Publicity of parliamentary activity,PP,RS,1900.0
AFONSO HAMM,Congressperson meal,PP,RS,25.0
ANDRÉ FIGUEIREDO,Fuels and lubricants,PDT,CE,182.72
MARCO MAIA,Lodging except for congressperson from Distrito Federal,PT,RS,102.0
GORETE PEREIRA,Publicity of parliamentary activity,PR,CE,1000.0
GORETE PEREIRA,Fuels and lubricants,PR,CE,185.0
WELLINGTON ROBERTO,Taxi toll and parking,PR,PB,166.0
WELLINGTON ROBERTO,Fuels and lubricants,PR,PB,50.0
VICENTINHO,Lodging except for congressperson from Distrito Federal,PT,SP,374.0
VICENTINHO,Lodging except for congressperson from Distrito Federal,PT,SP,374.0
VICENTINHO,Fuels and lubricants,PT,SP,164.57
VANDER LOUBET,Fuels and lubricants,PT,MS,70.0
GERALDO RESENDE,Fuels and lubricants,PSDB,MS,160.41
PAULO PIMENTA,Fuels and lubricants,PT,RS,150.0
PATRUS ANANIAS,Terrestrial maritime and fluvial tickets,PT,MG,12.25
MÁRIO HERINGER,Publicity of parliamentary activity,PDT,MG,900.0
MARIA DO ROSÁRIO,Fuels and lubricants,PT,RS,223.54
MARIA DO ROSÁRIO,Taxi toll and parking,PT,RS,7.6
LUIZ COUTO,Telecommunication,PT,PB,175.71
LOBBE NETO,Fuels and lubricants,PSDB,SP,50.0
LOBBE NETO,Maintenance of office supporting parliamentary activity,PSDB,SP,146.0
LOBBE NETO,Congressperson meal,PSDB,SP,23.98
DELEY,Fuels and lubricants,PTB,RJ,132.38
DELEY,Fuels and lubricants,PTB,RJ,128.63
JOSÉ MENTOR,Taxi toll and parking,PT,SP,13.0
JOSÉ MENTOR,Congressperson meal,PT,SP,26.0
JOSÉ MENTOR,Congressperson meal,PT,SP,27.0
JOSÉ MENTOR,Fuels and lubricants,PT,SP,40.0
JOSÉ CARLOS ARAÚJO,Fuels and lubricants,PR,BA,183.08
JOSÉ CARLOS ARAÚJO,Fuels and lubricants,PR,BA,100.0
CHICO ALENCAR,Congressperson meal,PSOL,RJ,12.0
CARLOS SOUZA,Fuels and lubricants,PSDB,AM,120.0
BENJAMIN MARANHÃO,Maintenance of office supporting parliamentary activity,SD,PB,276.97
ASSIS DO COUTO,Fuels and lubricants,PDT,PR,176.01
ASSIS DO COUTO,Fuels and lubricants,PDT,PR,100.0
ASSIS DO COUTO,Taxi toll and parking,PDT,PR,17.0
ALICE PORTUGAL,Fuels and lubricants,PCdoB,BA,149.22
CELSO JACOB,Congressperson meal,PMDB,RJ,49.5
POMPEO DE MATTOS,Automotive vehicle renting or charter,PDT,RS,7100.0
LUIS CARLOS HEINZE,Fuels and lubricants,PP,RS,223.04
LUIS CARLOS HEINZE,Taxi toll and parking,PP,RS,8.0
LUIS CARLOS HEINZE,Fuels and lubricants,PP,RS,155.4
HENRIQUE FONTANA,Publicity of parliamentary activity,PT,RS,75.0
HENRIQUE FONTANA,Postal services,PT,RS,56.3
HENRIQUE FONTANA,Fuels and lubricants,PT,RS,50.0
HENRIQUE FONTANA,Taxi toll and parking,PT,RS,42.0
OSMAR SERRAGLIO,Taxi toll and parking,PMDB,PR,15.04
OSMAR SERRAGLIO,Lodging except for congressperson from Distrito Federal,PMDB,PR,150.0
PEDRO CHAVES,Fuels and lubricants,PMDB,GO,95.0
LUIZA ERUNDINA,Fuels and lubricants,PSOL,SP,30.0
LUIZ SÉRGIO,Congressperson meal,PT,RJ,35.71
LUIZ SÉRGIO,Postal services,PT,RJ,2626.25
GONZAGA PATRIOTA,Lodging except for congressperson from Distrito Federal,PSB,PE,145.5
LINCOLN PORTELA,Security service provided by specialized company,PRB,MG,314.57
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,50.0
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,160.01
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,144.0
PAULO MAGALHÃES,Fuels and lubricants,PSD,BA,100.0
NELSON PELLEGRINO,Congressperson meal,PT,BA,50.6
CARLOS EDUARDO CADOCA,Maintenance of office supporting parliamentary activity,PDT,PE,1126.7
CARLOS EDUARDO CADOCA,Fuels and lubricants,PDT,PE,150.0
CARLOS EDUARDO CADOCA,Fuels and lubricants,PDT,PE,87.0
CARLOS EDUARDO CADOCA,Congressperson meal,PDT,PE,140.0
ANDRÉ DE PAULA,Congressperson meal,PSD,PE,40.0
DAMIÃO FELICIANO,Fuels and lubricants,PDT,PB,180.21
DAMIÃO FELICIANO,Lodging except for congressperson from Distrito Federal,PDT,PB,349.4
DAMIÃO FELICIANO,Fuels and lubricants,PDT,PB,145.95
NILSON PINTO,Aircraft renting or charter of aircraft,PSDB,PA,7500.0
MARCUS VICENTE,Fuels and lubricants,PP,ES,29.98
MARCUS VICENTE,Fuels and lubricants,PP,ES,155.01
RAIMUNDO GOMES DE MATOS,Telecommunication,PSDB,CE,230.26
RAIMUNDO GOMES DE MATOS,Maintenance of office supporting parliamentary activity,PSDB,CE,248.12
PAULO FEIJÓ,Fuels and lubricants,PR,RJ,200.65
ROBERTO FREIRE,Congressperson meal,PPS,SP,113.54
ROBERTO FREIRE,Congressperson meal,PPS,SP,47.28
ROBERTO FREIRE,Congressperson meal,PPS,SP,104.95
ROBERTO FREIRE,Congressperson meal,PPS,SP,145.8
LAURA CARNEIRO,Congressperson meal,PMDB,RJ,169.7
LAURA CARNEIRO,Fuels and lubricants,PMDB,RJ,153.56
JOSÉ ROCHA,Terrestrial maritime and fluvial tickets,PR,BA,92.25
JOSÉ ROCHA,Flight tickets,PR,BA,3483.6
JAIME MARTINS,Publicity of parliamentary activity,PSD,MG,400.0
JAIME MARTINS,Fuels and lubricants,PSD,MG,200.0
HERÁCLITO FORTES,Fuels and lubricants,PSB,PI,81.68
ELCIONE BARBALHO,Publication subscriptions,PMDB,PA,263.7
EDUARDO BARBOSA,Maintenance of office supporting parliamentary activity,PSDB,MG,119.5
PEPE VARGAS,Fuels and lubricants,PT,RS,114.75
PEPE VARGAS,Fuels and lubricants,PT,RS,141.93
BENITO GAMA,Fuels and lubricants,PTB,BA,215.78
BENITO GAMA,Congressperson meal,PTB,BA,40.8
MAURO MARIANI,Fuels and lubricants,PMDB,SC,239.28
LUIZ FERNANDO FARIA,Fuels and lubricants,PP,MG,240.05
HUGO LEAL,Taxi toll and parking,PSB,RJ,7.0
HUGO LEAL,Taxi toll and parking,PSB,RJ,14.4
HUGO LEAL,Taxi toll and parking,PSB,RJ,80.0
HUGO LEAL,Taxi toll and parking,PSB,RJ,82.0
HUGO LEAL,Fuels and lubricants,PSB,RJ,163.77
EDUARDO DA FONTE,Fuels and lubricants,PP,PE,181.08
CHICO LOPES,Fuels and lubricants,PCdoB,CE,147.4
ANTONIO BULHÕES,Congressperson meal,PRB,SP,105.88
AFONSO HAMM,Fuels and lubricants,PP,RS,142.14
MARCO MAIA,Terrestrial maritime and fluvial tickets,PT,RS,105.6
VANDER LOUBET,Fuels and lubricants,PT,MS,235.69
REGINALDO LOPES,Lodging except for congressperson from Distrito Federal,PT,MG,200.0
REGINALDO LOPES,Lodging except for congressperson from Distrito Federal,PT,MG,100.0
REGINALDO LOPES,Fuels and lubricants,PT,MG,210.13
GIACOBO,Lodging except for congressperson from Distrito Federal,PR,PR,756.0
ONYX LORENZONI,Fuels and lubricants,DEM,RS,100.0
MÁRIO HERINGER,Aircraft renting or charter of aircraft,PDT,MG,6707.0
MARIA DO ROSÁRIO,Fuels and lubricants,PT,RS,160.62
LOBBE NETO,Telecommunication,PSDB,SP,37.09
DELEY,Fuels and lubricants,PTB,RJ,104.89
DELEY,Fuels and lubricants,PTB,RJ,138.03
DELEY,Fuels and lubricants,PTB,RJ,212.37
JOSÉ MENTOR,Congressperson meal,PT,SP,64.5
JOSÉ MENTOR,Taxi toll and parking,PT,SP,15.0
ALICE PORTUGAL,Lodging except for congressperson from Distrito Federal,PCdoB,BA,100.0
ALICE PORTUGAL,Fuels and lubricants,PCdoB,BA,100.0
ALICE PORTUGAL,Terrestrial maritime and fluvial tickets,PCdoB,BA,81.0
ALICE PORTUGAL,Terrestrial maritime and fluvial tickets,PCdoB,BA,87.7
ALICE PORTUGAL,Fuels and lubricants,PCdoB,BA,135.06
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Fuels and lubricants,PSB,MG,78.24
JÚLIO DELGADO,Fuels and lubricants,PSB,MG,120.04
POMPEO DE MATTOS,Fuels and lubricants,PDT,RS,190.5
LUIS CARLOS HEINZE,Fuels and lubricants,PP,RS,154.59
HENRIQUE FONTANA,Fuels and lubricants,PT,RS,140.61
OSMAR SERRAGLIO,Congressperson meal,PMDB,PR,33.75
PEDRO CHAVES,Fuels and lubricants,PMDB,GO,150.0
GONZAGA PATRIOTA,Congressperson meal,PSB,PE,74.27
ANDRÉ DE PAULA,Fuels and lubricants,PSD,PE,147.02
JOSUÉ BENGTSON,Fuels and lubricants,PTB,PA,200.0
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,208.03
SILVIO TORRES,Fuels and lubricants,PSDB,SP,150.0
ROBERTO FREIRE,Congressperson meal,PPS,SP,107.66
ROBERTO FREIRE,Congressperson meal,PPS,SP,107.12
MARINHA RAUPP,Fuels and lubricants,PMDB,RO,150.0
LAURA CARNEIRO,Fuels and lubricants,PMDB,RJ,163.72
JOSÉ ROCHA,Fuels and lubricants,PR,BA,201.46
DILCEU SPERAFICO,Congressperson meal,PP,PR,26.0
MARCOS SOARES,Congressperson meal,DEM,RJ,255.64
PEPE VARGAS,Fuels and lubricants,PT,RS,107.04
PEPE VARGAS,Congressperson meal,PT,RS,26.0
PAULO PEREIRA DA SILVA,Telecommunication,SD,SP,1563.8
MAURO MARIANI,Lodging except for congressperson from Distrito Federal,PMDB,SC,150.1
BENEDITA DA SILVA,Taxi toll and parking,PT,RJ,20.0
BENEDITA DA SILVA,Fuels and lubricants,PT,RJ,140.04
BENEDITA DA SILVA,Congressperson meal,PT,RJ,77.77
FELIPE MAIA,Telecommunication,DEM,RN,186.21
DÉCIO LIMA,Congressperson meal,PT,SC,80.5
CLEBER VERDE,Telecommunication,PRB,MA,662.86
CLEBER VERDE,Telecommunication,PRB,MA,175.76
CHICO LOPES,Fuels and lubricants,PCdoB,CE,50.0
CHICO LOPES,Fuels and lubricants,PCdoB,CE,193.48
CELSO MALDANER,Lodging except for congressperson from Distrito Federal,PMDB,SC,153.9
CELSO MALDANER,Lodging except for congressperson from Distrito Federal,PMDB,SC,153.9
ANTONIO BULHÕES,Congressperson meal,PRB,SP,75.8
AFONSO HAMM,Fuels and lubricants,PP,RS,166.16
AFONSO HAMM,Fuels and lubricants,PP,RS,234.0
ANDRÉ FIGUEIREDO,Fuels and lubricants,PDT,CE,100.0
GORETE PEREIRA,Publicity of parliamentary activity,PR,CE,1100.0
REGINALDO LOPES,Fuels and lubricants,PT,MG,196.04
REGINALDO LOPES,Fuels and lubricants,PT,MG,202.46
MARIA HELENA,Congressperson meal,PSB,RR,64.0
MARIA DO ROSÁRIO,Fuels and lubricants,PT,RS,150.0
MARIA DO ROSÁRIO,Taxi toll and parking,PT,RS,3.5
MARIA DO ROSÁRIO,Taxi toll and parking,PT,RS,3.5
MARIA DO ROSÁRIO,Taxi toll and parking,PT,RS,7.1
MARIA DO ROSÁRIO,Taxi toll and parking,PT,RS,10.7
MARIA DO ROSÁRIO,Lodging except for congressperson from Distrito Federal,PT,RS,217.0
MARIA DO ROSÁRIO,Taxi toll and parking,PT,RS,10.7
MARIA DO ROSÁRIO,Taxi toll and parking,PT,RS,10.7
MARIA DO ROSÁRIO,Taxi toll and parking,PT,RS,10.7
MARIA DO ROSÁRIO,Taxi toll and parking,PT,RS,10.7
MARIA DO ROSÁRIO,Fuels and lubricants,PT,RS,265.01
MARIA DO ROSÁRIO,Lodging except for congressperson from Distrito Federal,PT,RS,187.0
